tbeg,tend,length,description
1078.38,1192.141,113.761,EPSL
1220.4,1225.2,4.8,VPU reset
1316.49,1389.113,72.623,decontamination #4
1443.8,1444.2,0.4,refocus (following FoV)
1653.8,1660,6.2,PAA anomaly
1820.9,1830,9.1,PAA anomaly
2094,2099,5,PDHU anomaly
2179.125,2191,11.875,VPU software update
2192.252,2195.218,2.967,observation gap
2238,2242,4,unknown
2322.3,2401.559,79.259,decontamination #5
2405.967,2408.643,2.676,observation gap
2408.935,2409.968,1.033,observation gap
2574.64,2575.4,0.76,refocus (preceding FoV)
2954.2,2958,3.8,moon eclipse
3045.133,3049,3.867,PDHU anomaly
3603.25,3605.227,1.976,observation gap
3646.8,3650,3.2,moon eclipse
3663.7,3667,3.3,moon eclipse
4074.21,4076.063,1.853,observation gap
4112.463,4180,67.537,decontamination #6
4271.753,4275.2,3.445,PAA anomaly
4477.441,4481,3.55,PAA anomaly
4512.502,4515,2.498,PAA anomaly
4545.144,4548,2.856,PAA anomaly
5078.547,5080.6,2.053,STR anomaly
